row,column,cor,p
Age.of.single.word,Age.of.first.phrase,0.7599678885180482,0
Age.of.single.word,Loss.of.Language.,-0.025703481963601237,0.7052356135726721
Age.of.first.phrase,Loss.of.Language.,-0.02482653334317712,0.7154785747109791
Age.of.single.word,Social.Total,-0.08419815416694582,0.2145713224149759
Age.of.first.phrase,Social.Total,-0.1129458518535527,0.09623942986861778
Loss.of.Language.,Social.Total,0.15620200280268046,0.020746673581807817
Age.of.single.word,Communication.Total,-0.015653135639351185,0.8178324716885874
Age.of.first.phrase,Communication.Total,-0.10396950965994338,0.12591366830540673
Loss.of.Language.,Communication.Total,0.1858944473907127,0.005791900468244737
Social.Total,Communication.Total,0.7272740804109679,0
Age.of.single.word,Behavioral.Total,-0.06220813664398709,0.35955377491352225
Age.of.first.phrase,Behavioral.Total,-0.13017734566708905,0.05496285977215565
Loss.of.Language.,Behavioral.Total,0.08987299667603164,0.18514773139526386
Social.Total,Behavioral.Total,0.24370914533392504,2.3835432547425484e-4
Communication.Total,Behavioral.Total,0.37905450816869823,4.963464084184466e-9
Age.of.single.word,Social.Affect.Total...New.Algorithm..Mod4.,-0.047972694723169416,0.48513227227329625
Age.of.first.phrase,Social.Affect.Total...New.Algorithm..Mod4.,-0.017669699718451216,0.7976548748216752
Loss.of.Language.,Social.Affect.Total...New.Algorithm..Mod4.,0.1360599077009701,0.046813710331953695
Social.Total,Social.Affect.Total...New.Algorithm..Mod4.,0.16532483894136482,0.0145335349611182
Communication.Total,Social.Affect.Total...New.Algorithm..Mod4.,0.04493396387400353,0.5092786933295455
Behavioral.Total,Social.Affect.Total...New.Algorithm..Mod4.,-0.024626245794197858,0.7176759195391946
Age.of.single.word,Behavioral.Total...New.Algorithm..Mod4.,-0.03156474266469053,0.6461175557321965
Age.of.first.phrase,Behavioral.Total...New.Algorithm..Mod4.,-0.035570232823992326,0.6056874460896009
Loss.of.Language.,Behavioral.Total...New.Algorithm..Mod4.,-0.08399361049708429,0.2210700710960105
Social.Total,Behavioral.Total...New.Algorithm..Mod4.,0.03630676528249815,0.5939249747492061
Communication.Total,Behavioral.Total...New.Algorithm..Mod4.,0.03883226076868701,0.5684943526214103
Behavioral.Total,Behavioral.Total...New.Algorithm..Mod4.,0.0713230339938976,0.2944757899425694
Social.Affect.Total...New.Algorithm..Mod4.,Behavioral.Total...New.Algorithm..Mod4.,0.16716333293025762,0.00903364877490187
Age.of.single.word,ADOS.Total...New.Algorithm..Mod4.,-0.054406707841113,0.4284617212261237
Age.of.first.phrase,ADOS.Total...New.Algorithm..Mod4.,-0.02899607728065895,0.6739141977947227
Loss.of.Language.,ADOS.Total...New.Algorithm..Mod4.,0.08874868558779996,0.19593124341873658
Social.Total,ADOS.Total...New.Algorithm..Mod4.,0.16029457876237813,0.01786279655637313
Communication.Total,ADOS.Total...New.Algorithm..Mod4.,0.05455651511394977,0.42285185275019854
Behavioral.Total,ADOS.Total...New.Algorithm..Mod4.,0.005236579406085201,0.9387244270641089
Social.Affect.Total...New.Algorithm..Mod4.,ADOS.Total...New.Algorithm..Mod4.,0.9364392710752671,0
Behavioral.Total...New.Algorithm..Mod4.,ADOS.Total...New.Algorithm..Mod4.,0.5024315794449218,0
Age.of.single.word,Comparison.Score...New.Algorithm..Mod4.,-0.05665718045599077,0.40958087506045415
Age.of.first.phrase,Comparison.Score...New.Algorithm..Mod4.,-0.0387316960264569,0.5740102927050446
Loss.of.Language.,Comparison.Score...New.Algorithm..Mod4.,0.09376545274694167,0.1717352244223891
Social.Total,Comparison.Score...New.Algorithm..Mod4.,0.140688861560974,0.03792738362386583
Communication.Total,Comparison.Score...New.Algorithm..Mod4.,0.05865350920665364,0.38881294867119554
Behavioral.Total,Comparison.Score...New.Algorithm..Mod4.,-0.0013221768845414835,0.9845144453410861
Social.Affect.Total...New.Algorithm..Mod4.,Comparison.Score...New.Algorithm..Mod4.,0.9026219078394285,0
Behavioral.Total...New.Algorithm..Mod4.,Comparison.Score...New.Algorithm..Mod4.,0.4638824366327708,2.2648549702353193e-14
ADOS.Total...New.Algorithm..Mod4.,Comparison.Score...New.Algorithm..Mod4.,0.9566264490298048,0
Age.of.single.word,Verbal.Standard.Score,0.12027349949503978,0.07638696627630237
Age.of.first.phrase,Verbal.Standard.Score,0.1530451781636729,0.02414747044140242
Loss.of.Language.,Verbal.Standard.Score,-0.051132997216221464,0.45257998210007155
Social.Total,Verbal.Standard.Score,-0.29144750094394367,1.014016939349105e-5
Communication.Total,Verbal.Standard.Score,-0.22579903312748714,7.009319339459363e-4
Behavioral.Total,Verbal.Standard.Score,-0.10632829897692035,0.11415403019512649
Social.Affect.Total...New.Algorithm..Mod4.,Verbal.Standard.Score,-0.22714570737795378,3.681321295387896e-4
Behavioral.Total...New.Algorithm..Mod4.,Verbal.Standard.Score,-0.042304040771658474,0.5124791115557499
ADOS.Total...New.Algorithm..Mod4.,Verbal.Standard.Score,-0.21444560849354866,7.854630385251138e-4
Comparison.Score...New.Algorithm..Mod4.,Verbal.Standard.Score,-0.17421424786108652,0.0065893854649075045
Age.of.single.word,Nonverbal.Reasoning.Standard.Score,0.10858481849312848,0.10987635858998468
Age.of.first.phrase,Nonverbal.Reasoning.Standard.Score,0.16446410528740177,0.01529775375228093
Loss.of.Language.,Nonverbal.Reasoning.Standard.Score,0.08830911745601788,0.19397429366004992
Social.Total,Nonverbal.Reasoning.Standard.Score,-0.1513006431884231,0.0241585960362376
Communication.Total,Nonverbal.Reasoning.Standard.Score,-0.09378665278690552,0.16374916504279158
Behavioral.Total,Nonverbal.Reasoning.Standard.Score,-0.03680991151489639,0.585379368262251
Social.Affect.Total...New.Algorithm..Mod4.,Nonverbal.Reasoning.Standard.Score,-0.14577950405185744,0.023317900254459012
Behavioral.Total...New.Algorithm..Mod4.,Nonverbal.Reasoning.Standard.Score,-0.0779792415879296,0.22680396778986323
ADOS.Total...New.Algorithm..Mod4.,Nonverbal.Reasoning.Standard.Score,-0.15575310930377642,0.01529895886848398
Comparison.Score...New.Algorithm..Mod4.,Nonverbal.Reasoning.Standard.Score,-0.1275369509857006,0.047497456354099965
Verbal.Standard.Score,Nonverbal.Reasoning.Standard.Score,0.636308629510283,0
Age.of.single.word,Spatial.Standard.Score,0.1270725439584282,0.06106603348292472
Age.of.first.phrase,Spatial.Standard.Score,0.18498001583274434,0.00627961953536893
Loss.of.Language.,Spatial.Standard.Score,-0.01940595504020665,0.7757168841988518
Social.Total,Spatial.Standard.Score,-0.11231383504889429,0.09506246532209683
Communication.Total,Spatial.Standard.Score,-0.13924205293999453,0.038166941185143743
Behavioral.Total,Spatial.Standard.Score,-0.14077923055029487,0.03606689138377828
Social.Affect.Total...New.Algorithm..Mod4.,Spatial.Standard.Score,-0.14047366553847954,0.028904434072746454
Behavioral.Total...New.Algorithm..Mod4.,Spatial.Standard.Score,-0.0595929383765218,0.3559710804892213
ADOS.Total...New.Algorithm..Mod4.,Spatial.Standard.Score,-0.14454017789897147,0.0245317881188285
Comparison.Score...New.Algorithm..Mod4.,Spatial.Standard.Score,-0.13313003305148358,0.038497763453106515
Verbal.Standard.Score,Spatial.Standard.Score,0.5539593870142178,0
Nonverbal.Reasoning.Standard.Score,Spatial.Standard.Score,0.6734263339178026,0
Age.of.single.word,General.Conceptual.Ability.Standard.Score,0.1371416358796599,0.04309395467494559
Age.of.first.phrase,General.Conceptual.Ability.Standard.Score,0.18988098459775818,0.005007595347501059
Loss.of.Language.,General.Conceptual.Ability.Standard.Score,0.004335441329405273,0.9492534496337872
Social.Total,General.Conceptual.Ability.Standard.Score,-0.2117063365185301,0.00151088597482274
Communication.Total,General.Conceptual.Ability.Standard.Score,-0.17254106521808293,0.010005562877779761
Behavioral.Total,General.Conceptual.Ability.Standard.Score,-0.10322030560445482,0.12518610352677828
